Time(s),AU46-EQ6-psaNorthSouth(g),AU46-EQ6-psaEastWest(g),CO47-EQ18-psaNorthSouth(g),CO47-EQ18-psaEastWest(g),DR16-EQ24-psaNorthSouth(g),DR16-EQ24-psaEastWest(g),DX37-EQ25-psaNorthSouth(g),DX37-EQ25-psaEastWest(g),EO30-EQ26-psaNorthSouth(g),EO30-EQ26-psaEastWest(g),GR27-EQ31-psaNorthSouth(g),GR27-EQ31-psaEastWest(g),ME52-EQ39-psaNorthSouth(g),ME52-EQ39-psaEastWest(g),Median-ZoneII-psaNorthSouth(g),StandardDev-ZoneII-psaNorthSouth(g),Median-ZoneII-psaEastWest(g),StandardDev-ZoneII-psaEastWest(g)
0.93,0.363979693,0.416606069,0.110796164,0.109749404,0.130485366,0.12637904,0.851853603,0.547052532,0.111379586,0.104975365,0.286990813,0.351860356,0.191252436,0.203088189,0.191252436,0.245047158,0.203088189,0.161616414
0.94,0.352387138,0.407540633,0.113672556,0.112271915,0.122467542,0.11753781,0.879806587,0.580972779,0.114763588,0.103645059,0.283243289,0.330084741,0.192899098,0.2077344,0.192899098,0.253822873,0.2077344,0.168512445
0.95,0.34179486,0.394080973,0.115361042,0.114216414,0.118070476,0.117797389,0.898139967,0.606340104,0.11815757,0.10084318,0.276903317,0.311423009,0.195181961,0.212508406,0.195181961,0.259424057,0.212508406,0.172972537
0.96,0.334863904,0.37806494,0.115910285,0.114148015,0.118370084,0.122018576,0.906780856,0.623485068,0.12224627,0.096895461,0.268012055,0.291061679,0.195041595,0.216377997,0.195041595,0.261779091,0.216377997,0.175569982
0.97,0.331604545,0.36138807,0.115531399,0.112133614,0.117877936,0.125339155,0.905988411,0.634310865,0.126957976,0.096165615,0.256426712,0.270126495,0.192778314,0.219295759,0.192778314,0.261413135,0.219295759,0.176872449
0.98,0.328934304,0.345596626,0.114370544,0.108919742,0.116628925,0.127926376,0.915077767,0.642590702,0.13155697,0.097300369,0.242529073,0.252761847,0.188388227,0.22102506,0.188388227,0.264795328,0.22102506,0.17805788
0.99,0.323880087,0.331718509,0.120379624,0.10941657,0.11468235,0.129926691,0.926516206,0.651119458,0.135116716,0.099596616,0.226800002,0.236397486,0.182261259,0.220254358,0.182261259,0.268700252,0.220254358,0.179416348
1,0.313617608,0.319968359,0.126983476,0.112903357,0.112154268,0.131612188,0.947659429,0.660538973,0.136967059,0.100322833,0.212280759,0.223818056,0.174927136,0.215989795,0.174927136,0.276192002,0.215989795,0.181447207
1.01,0.297317311,0.309336793,0.130722955,0.11359967,0.109221524,0.13276496,0.962352661,0.670698051,0.13680023,0.099580787,0.212117324,0.215326473,0.166647261,0.212298255,0.166647261,0.281547276,0.212298255,0.184431392
1.02,0.277446166,0.298354431,0.13194357,0.112475156,0.106128592,0.133501827,0.973375288,0.679868517,0.134904872,0.098152015,0.208939607,0.208001724,0.158012378,0.204606215,0.158012378,0.286300506,0.204606215,0.187639452
