Time(s),AO24-EQ3-psaNorthSouth(g),AO24-EQ3-psaEastWest(g),CH84-EQ14-psaNorthSouth(g),CH84-EQ14-psaEastWest(g),ES57-EQ27-psaNorthSouth(g),ES57-EQ27-psaEastWest(g),IB22-EQ33-psaNorthSouth(g),IB22-EQ33-psaEastWest(g),JC54-EQ35-psaNorthSouth(g),JC54-EQ35-psaEastWest(g),LI33-EQ36-psaNorthSouth(g),LI33-EQ36-psaEastWest(g),LV17-EQ38-psaNorthSouth(g),LV17-EQ38-psaEastWest(g),MI15-EQ40-psaNorthSouth(g),MI15-EQ40-psaEastWest(g),SI53-EQ50-psaNorthSouth(g),SI53-EQ50-psaEastWest(g),UC44-EQ56-psaNorthSouth(g),UC44-EQ56-psaEastWest(g)
0.820,0.282648839,0.294868593,0.302951025,0.376413134,0.294873585,0.235671558,0.291139554,0.207727403,0.545982476,0.291003353,0.274423427,0.243045527,0.281936883,0.355219844,0.485604625,0.411342062,0.235066885,0.254776283,0.217663699,0.251440148
0.830,0.290838325,0.307965085,0.296290965,0.380247567,0.301658279,0.254015966,0.277006839,0.208356815,0.544957177,0.301592437,0.271197633,0.23798083,0.285163424,0.365407768,0.481557324,0.408753153,0.226611674,0.255951863,0.224270102,0.258183363
0.840,0.302953245,0.320945113,0.290419816,0.380933629,0.304594541,0.268265365,0.261692821,0.207305383,0.554981288,0.308991108,0.267401024,0.231747213,0.284756378,0.374757709,0.481611476,0.401268095,0.219799895,0.258529422,0.229539682,0.261664273
0.850,0.318950493,0.334267943,0.28663823,0.38009385,0.305731101,0.276482583,0.254700485,0.207510863,0.577143311,0.311978884,0.263417159,0.243033755,0.280804706,0.382582059,0.486829046,0.389035257,0.217091608,0.262752106,0.234190601,0.262224848
0.860,0.3377876,0.345315052,0.28574799,0.379356673,0.305331576,0.279056465,0.25464357,0.21164954,0.609373778,0.31064179,0.259133033,0.258400978,0.274129185,0.389011071,0.497185456,0.373159998,0.220447584,0.268692689,0.239454248,0.260794486
0.870,0.358171859,0.356039574,0.288253826,0.380334087,0.303544862,0.276609418,0.256785117,0.218992953,0.64722492,0.322202246,0.262211689,0.275321651,0.265543635,0.394275072,0.512130853,0.359166944,0.231526398,0.276177784,0.245690006,0.258049888
0.880,0.37906505,0.372035442,0.29301041,0.383903669,0.300863143,0.269345939,0.260866973,0.225944878,0.685716161,0.330672809,0.277832035,0.290814794,0.255000004,0.398848989,0.529413714,0.348466096,0.248712383,0.285016469,0.253537243,0.255313404
0.890,0.399176095,0.391090045,0.298945425,0.390160128,0.296644798,0.256997155,0.266376893,0.231626687,0.720865335,0.349126864,0.290670021,0.301862686,0.24422642,0.403524454,0.547260643,0.337357344,0.266796532,0.295000543,0.262305084,0.25376056
0.900,0.417433558,0.412112206,0.30512023,0.398403239,0.290594994,0.239243874,0.272107627,0.235927872,0.749565317,0.372196012,0.303037281,0.305939537,0.234753844,0.408986535,0.563925338,0.326706682,0.283335752,0.306001147,0.271878457,0.254631781
0.910,0.434755101,0.436128091,0.310288154,0.40729698,0.301363639,0.216585072,0.277002125,0.239488573,0.769828304,0.394167433,0.317975053,0.302065434,0.227481099,0.415280188,0.577874249,0.316987234,0.298121459,0.318390606,0.281209237,0.257929378
0.920,0.450676301,0.45974263,0.313759066,0.415242842,0.306312259,0.204650923,0.280385024,0.242682748,0.781062549,0.413430166,0.336550065,0.294121522,0.228404767,0.422053028,0.588597498,0.324374583,0.312435182,0.332090264,0.289604036,0.262754488
0.930,0.462124082,0.495048717,0.315089559,0.421164367,0.306009379,0.203521233,0.281919148,0.246323185,0.783484611,0.428976002,0.356746712,0.293987719,0.2343227,0.429230067,0.595011573,0.348505827,0.32370071,0.347088467,0.296412706,0.267469943
0.940,0.46998571,0.531965243,0.314071036,0.423947275,0.302496226,0.199271639,0.281587753,0.251140816,0.776508858,0.440609487,0.373861264,0.288846675,0.241359968,0.437060028,0.596766974,0.372051916,0.331757339,0.36266922,0.301074315,0.270191025
