T(s),Zone I (overstrength 2),Zone I (elastic),Zone II (overstrength 2),Zone II (elastic),Zone IIIa (overstrength 2),Zone IIIa (elastic),Zone IIIb (overstrength 2),Zone IIIb (elastic),Zone IIIc (overstrength 2),Zone IIIc (elastic),Zone IIId (overstrength 2),Zone IIId (elastic)
1.64,0.131707317,0.263414634,0.247031066,0.494062132,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.65,0.130909091,0.261818182,0.24504184,0.49008368,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.66,0.130120482,0.260240964,0.243080507,0.486161014,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.67,0.129341317,0.258682635,0.241146512,0.482293023,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.68,0.128571429,0.257142857,0.239239313,0.478478625,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.69,0.127810651,0.255621302,0.237358382,0.474716764,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.7,0.127058824,0.254117647,0.235503207,0.471006413,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.71,0.126315789,0.252631579,0.233673285,0.46734657,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.72,0.125581395,0.251162791,0.231868128,0.463736256,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.73,0.124855491,0.249710983,0.23008726,0.460174521,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.74,0.124137931,0.248275862,0.228330217,0.456660435,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.75,0.123428571,0.246857143,0.226596546,0.453193092,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.76,0.122727273,0.245454545,0.224885804,0.449771609,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.77,0.122033898,0.244067797,0.223197562,0.446395124,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.78,0.121348315,0.242696629,0.221531398,0.443062795,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.79,0.120670391,0.241340782,0.219886901,0.439773803,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.8,0.12,0.24,0.218263673,0.436527345,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.81,0.119337017,0.238674033,0.216661321,0.433322641,0.39559232,0.79118464,0.45,0.9,0.4,0.8,0.3,0.6
1.82,0.118681319,0.237362637,0.215079463,0.430158927,0.391257095,0.782514189,0.45,0.9,0.4,0.8,0.3,0.6
1.83,0.118032787,0.236065574,0.213517729,0.427035457,0.386992744,0.773985488,0.45,0.9,0.4,0.8,0.3,0.6
1.84,0.117391304,0.234782609,0.211975753,0.423951505,0.382797732,0.765595463,0.45,0.9,0.4,0.8,0.3,0.6
1.85,0.116756757,0.233513514,0.21045318,0.420906359,0.378670562,0.757341125,0.45,0.9,0.4,0.8,0.3,0.6
1.86,0.116129032,0.232258065,0.208949663,0.417899326,0.374609781,0.749219563,0.45,0.9,0.4,0.8,0.3,0.6
1.87,0.115508021,0.231016043,0.207464863,0.414929726,0.370613972,0.741227945,0.45,0.9,0.4,0.8,0.3,0.6
1.88,0.114893617,0.229787234,0.205998449,0.411996898,0.366681756,0.733363513,0.45,0.9,0.4,0.8,0.3,0.6
